region,source_name,url,sectors,is_paywalled, Comments
pan-african,Business Daily Africa,https://www.businessdailyafrica.com/,Business and Economics,yes,Paywalled
pan-african,Daily Investor,https://dailyinvestor.com/,Business and Economics,no,
pan-african,Africa News,https://www.africanews.com/business/,Business and Economics,no,
pan-african,Reuters Africa,https://www.reuters.com/world/africa/,Business and Economics,restricted,~5-10 free articles per month
pan-african,African Business,https://african.business/,Business and Economics,no,
pan-african,Bloomberg Africa,https://www.bloomberg.com/africa,Business and Economics,yes,Paywalled
pan-african,Business Insider Africa,https://africa.businessinsider.com/,Business and Economics,no,
pan-african,MoneyWeb,https://www.moneyweb.co.za/category/news/africa/ ,Business and Economics,restricted,~4 free articles per month
pan-african,Financial Afrik,https://www.financialafrik.com/,Business and Economics,yes,Paywalled
pan-african,Jeune Afrik,https://www.jeuneafrique.com/ ,Business and Economics,no,
pan-african,Forbes Africa Lusafona,https://forbesafricalusofona.com/,Business and Economics,no,
pan-african,Aljazeera,https://www.aljazeera.com/africa/,Politics and Security,no,
pan-african,AP News,https://apnews.com/hub/africa,Politics and Security,no,
pan-african,BBC News,https://www.bbc.com/news/world/africa,Politics and Security,no,
pan-african,Defence Web,https://www.defenceweb.co.za/category/african-news/,Politics and Security,no,
pan-african,News 24,https://www.news24.com/,Politics and Security,no,
pan-african,IOL,https://www.iol.co.za/,Politics and Security,no,
pan-african,Mail & Guardian Africa,https://mg.co.za/,Politics and Security,yes,Paywalled
pan-african,Africa Report,https://www.theafricareport.com/,Politics and Security,yes,Paywalled
pan-african,TimesLive,https://www.timeslive.co.za/,Politics and Security,no,
pan-african,Jeune Afrique,https://www.jeuneafrique.com/,Politics and Security,no,
pan-african,Africa Confidential,https://www.africa-confidential.com/news,Politics and Security,yes,Paywalled
pan-african,Financial Times African Politics,https://www.ft.com/african-politics?form=MG0AV3,Politics and Security,yes,Paywalled
pan-african,New African,https://newafricanmagazine.com/,Politics and Security,no,
pan-african,Polity,https://www.polity.org.za/,Politics and Security,no,
pan-african,Africa Energy Portal,https://africa-energy-portal.org/news,"Agri, Energy and Natural Resources",no,
pan-african,Alternate Energy Africa,https://www.ae-africa.com/news/,"Agri, Energy and Natural Resources",no,
pan-african,Energy Capital Power,https://energycapitalpower.com/,"Agri, Energy and Natural Resources",restricted,This website is free BUT website is copywright protected - assess what is viable to extract
pan-african,ESI Africa,https://www.esi-africa.com/,"Agri, Energy and Natural Resources",no,
pan-african,Food Business Africa,https://www.foodbusinessafrica.com/,"Agri, Energy and Natural Resources",no,
pan-african,Mining Review,https://www.miningreview.com/,"Agri, Energy and Natural Resources",no,
pan-african,Mining Weekly,https://www.miningweekly.com/,"Agri, Energy and Natural Resources",no,
pan-african,Oil Review Africa,https://oilreviewafrica.com/,"Agri, Energy and Natural Resources",no,
pan-african,Energize,https://www.energize.co.za/ ,"Agri, Energy and Natural Resources",no,
pan-african,East African Mining News,https://eastafricanminingnews.com/,"Agri, Energy and Natural Resources",no,
pan-african,The African Miner,https://miner.africa/category/news/,"Agri, Energy and Natural Resources",no,
pan-african,Farmers Weekly,https://www.farmersweekly.co.za/,"Agri, Energy and Natural Resources",no,
pan-african,African Agri Business,https://africanagribusiness.com/,"Agri, Energy and Natural Resources",no,
pan-african,Construct Africa,https://constructafrica.com/news ,Infrastructure,yes,Paywalled
pan-african,Construction Review,https://constructionreviewonline.com/region/news/africa/,Infrastructure,no,
pan-african,Freight News,https://www.freightnews.co.za/,Infrastructure,no,
pan-african,Freight Trends Global,https://freighttrendsglobal.com/,Infrastructure,no,
pan-african,Global Africa Network,https://www.globalafricanetwork.com/,Infrastructure,no,
pan-african,Railway Gazette International,https://www.railwaygazette.com/,Infrastructure,no,
pan-african,Railways Africa,https://www.railwaysafrica.com/,Infrastructure,no,
pan-african,Infrastructure News,https://infrastructurenews.co.za/,Infrastructure,no,
pan-african,Engineering News,https://www.engineeringnews.co.za/,Infrastructure,no,
pan-african,Logistics Update Africa,https://www.logupdateafrica.com/latest-news,Infrastructure,no,
pan-african,Rail Market,https://railmarket.com/news/regions/af,Infrastructure,no,
pan-african,Connecting Africa,https://www.connectingafrica.com/,Science and Technology,no,
pan-african,Developing Telecoms,https://developingtelecoms.com/,Science and Technology,no,
pan-african,Disrupt Africa,https://disruptafrica.com/,Science and Technology,no,
pan-african,IT News Africa,https://www.itnewsafrica.com/,Science and Technology,no,
pan-african,ITWeb & ITWeb Africa,https://www.itweb.co.za/,Science and Technology,no,
pan-african,ITWeb & ITWeb Africa,https://itweb.africa/,Science and Technology,no,
pan-african,BusinessTech,https://businesstech.co.za/news/ ,Science and Technology,no,
pan-african,Tech Africa,https://www.techafricanews.com/,Science and Technology,no,
pan-african,Tech Labari,https://techlabari.com/,Science and Technology,no,
pan-african,Tech Weez,https://techweez.com/,Science and Technology,no,
pan-african,Tech Crunch,https://techcrunch.com/tag/africa/,Science and Technology,no,
pan-african,Tech Point Africa,https://techpoint.africa/,Science and Technology,no,
pan-african,Tech in Africa,https://www.techinafrica.com/,Science and Technology,no,
pan-african,Tech Central,https://techcentral.co.za/,Science and Technology,no,
pan-african,We Are Tech,https://www.wearetech.africa/,Science and Technology,no,
pan-african,African  Pharmaceutical Review,https://africanpharmaceuticalreview.com/public/contents/news ,Science and Technology,no,Healthcare source
pan-african,Gavi,https://www.gavi.org/news-resources/media-room/news-releases,Science and Technology,no,Healthcare source
pan-african,iAfrica ,https://iafrica.com/category/ai-africa/,Science and Technology,no,AI source 
pan-african,Africa Business Communities,https://africabusinesscommunities.com/index.html,Multiple Sectors,no,
pan-african,Africa Business Insider,https://africa.businessinsider.com/,Multiple Sectors,no,
pan-african,Afrik21,https://www.afrik21.africa/en/,Multiple Sectors,restricted,Not available
pan-african,Africa Intelligence,https://www.africaintelligence.com/,Multiple Sectors,yes,Paywalled
pan-african,Africa News,https://www.africanews.com/,Multiple Sectors,no,
pan-african,Bizcommunity,https://www.bizcommunity.africa/AllIndustries#,Multiple Sectors,no,
pan-african,Business Tech,https://businesstech.co.za/news/,Multiple Sectors,no,
pan-african,CNBC Africa,https://www.cnbcafrica.com/,Multiple Sectors,no,
pan-african,Egypt Today,https://www.egypttoday.com/,Multiple Sectors,no,
pan-african,Engineering News,https://www.engineeringnews.co.za/page/home,Multiple Sectors,no,
pan-african,Ecofin Agency,https://www.ecofinagency.com/homepage,Multiple Sectors,no,
pan-african,Further Africa,https://furtherafrica.com/,Multiple Sectors,no,
pan-african,Morocco World News,https://www.moroccoworldnews.com/,Multiple Sectors,no,
pan-african,MyBroadband,https://mybroadband.co.za/news/,Multiple Sectors,no,
pan-african,Forbes Africa Lusophone, https://www.forbesafricalusofona.com/,Multiple Sectors,no,
pan-african,North Africa Post,https://northafricapost.com/,Multiple Sectors,no,
pan-african,Reuters,https://www.reuters.com/world/africa/,Multiple Sectors,no,
pan-african,Class FM Online,https://www.classfmonline.com/business/index.php,Multiple Sectors,no,
pan-african,Semafor,https://www.semafor.com/,Multiple Sectors,no,
pan-african,The East African,https://www.theeastafrican.co.ke/,Multiple Sectors,restricted,Paywalled - certain articles are free
pan-african, NTV Kenya,https://ntvkenya.co.ke/,Multiple Sectors,no,
pan-african,Zawya,https://www.zawya.com/en/economy/africa ,Multiple Sectors,no,
pan-african,Le Monde,https://www.lemonde.fr/en/le-monde-africa/ ,Multiple Sectors,no,
pan-african,RFI,https://www.rfi.fr/en/africa/ ,Multiple Sectors,no,
pan-african,Africa Business Watch,https://www.africabusinesswatch.com/latest-news,Multiple Sectors,no,
pan-african,VOA,https://www.voaportugues.com/,Multiple Sectors,no,
pan-african,France 24,https://www.france24.com/en/africa/ ,Multiple Sectors,no,
pan-african,Southern African Times,https://southernafricantimes.com/,Multiple Sectors,no,
Algeria,aps,https://www.aps.dz/en/,Multiple Sectors,no,
Angola,verangola,https://www.verangola.net/va/en,Multiple Sectors,no,
Angola,angop,https://www.angop.ao/en/#,Multiple Sectors,no,
Benin,lanouvelletribune,https://lanouvelletribune.info/,Multiple Sectors,no,
Benin,lematinal,https://lematinal.bj/,Multiple Sectors,no,
Benin,leconomistebenin,https://leconomistebenin.bj/,Multiple Sectors,no,
Benin,matinlibre,https://matinlibre.com/,Multiple Sectors,no,
Botswana,thepatriot,https://thepatriot.co.bw/news/,Multiple Sectors,no,
Burkina Faso,leconomistedufaso,https://leconomistedufaso.com/,Multiple Sectors,no,
Burkina Faso,france24,https://www.france24.com/en/tag/burkina-faso/,Multiple Sectors,no,
Burundi,burunditimes,https://www.burunditimes.com/,Multiple Sectors,no,
Cabo Verde (Cape Verde),asemana,https://asemana.cv/,Multiple Sectors,no,
Cabo Verde (Cape Verde),anacao,https://www.anacao.cv/,Multiple Sectors,no,
Cabo Verde (Cape Verde),expressodasilhas,https://expressodasilhas.cv/,Multiple Sectors,no,
Cameroon,cameroononline,https://www.cameroononline.org/,Multiple Sectors,no,
Cameroon,theguardianpostcameroon,https://theguardianpostcameroon.com/,Multiple Sectors,no,
Central African Republic (CAR),corbeaunews-centrafrique,https://corbeaunews-centrafrique.org/,Multiple Sectors,no,
Central African Republic (CAR),ndjonisango,https://ndjonisango.com/,Multiple Sectors,no,
Chad,journaldutchad,https://journaldutchad.com/,Multiple Sectors,no,
Chad,france24,https://www.france24.com/en/tag/chad/,Multiple Sectors,no,
Comoros,alwatwan,https://alwatwan.net/,Multiple Sectors,no,
Comoros,comoresinfos,https://www.comoresinfos.net/,Multiple Sectors,no,
Congo (Democratic Republic),actualite,https://actualite.cd/actualite,Multiple Sectors,no,
Congo (Democratic Republic),7sur7,https://7sur7.cd/,Multiple Sectors,no,
Congo (Democratic Republic),comorostimes,https://comorostimes.com/latest-news,Multiple Sectors,no,
Congo (Republic),journaldebrazza,https://www.journaldebrazza.com/,Multiple Sectors,no,
Congo (Republic),lasemaineafricaine,https://lasemaineafricaine.info/,Multiple Sectors,no,
Congo (Republic),adiac-congo,https://www.adiac-congo.com/,Multiple Sectors,no,
Cote D'Ivoire,connectionivoirienne,https://connectionivoirienne.net/,Multiple Sectors,no,
Cote D'Ivoire,fratmat,https://www.fratmat.info/,Multiple Sectors,no,
Cote D'Ivoire,lintelligentdabidjan,https://www.lintelligentdabidjan.info/news/,Multiple Sectors,no,
Djibouti,adi,https://www.adi.dj/,Multiple Sectors,no,
Djibouti,djibouticitytimes,https://djibouticitytimes.com/,Multiple Sectors,no,
Egypt,egypttoday,https://www.egypttoday.com/Section/News/1,Multiple Sectors,no,
Egypt,egyptindependent,https://www.egyptindependent.com/,Multiple Sectors,no,
Egypt,dailynewsegypt,https://www.dailynewsegypt.com/,Multiple Sectors,no,
Equatorial Guinea,ahoraeg,https://ahoraeg.com/,Multiple Sectors,no,
Eritrea,eriinfo,https://eriinfo.com/category/eritrean-news/,Multiple Sectors,no,
Eswatini,swazilandnews,https://www.swazilandnews.co.za/news/,Multiple Sectors,no,
Ethiopia,addisstandard,https://addisstandard.com/,Multiple Sectors,no,
Ethiopia,thereporterethiopia,https://www.thereporterethiopia.com/,Multiple Sectors,no,
Ethiopia,ena,https://www.ena.et/web/eng,Multiple Sectors,no,
Gabon,gabonactu,https://gabonactu.com/,Multiple Sectors,no,
Gabon,france24,https://www.france24.com/en/tag/gabon//,Multiple Sectors,no,
Gambia,standard,https://standard.gm/,Multiple Sectors,no,
Ghana,ghanaiantimes,https://ghanaiantimes.com.gh/,Multiple Sectors,no,
Guinea,guineenews,https://guineenews.org/category/news/,Multiple Sectors,no,
Guinea-Bissau,france24,https://www.france24.com/en/tag/guinea-bissau/,Multiple Sectors,no,
Kenya,nation,https://nation.africa/kenya,Multiple Sectors,no,
Kenya,tuko,https://www.tuko.co.ke/politics/,Multiple Sectors,no,
Lesotho,lestimes,https://lestimes.com/category/news/,Multiple Sectors,no,
Liberia,frontpageafricaonline,https://frontpageafricaonline.com/,Multiple Sectors,no,
Liberia,thenewdawnliberia,https://thenewdawnliberia.com/,Multiple Sectors,no,
Libya,libyaobserver,https://libyaobserver.ly/,Multiple Sectors,no,
Libya,libyaherald,https://libyaherald.com/,Multiple Sectors,no,
Madagascar,madagascar-tribune,https://www.madagascar-tribune.com/,Multiple Sectors,no,
Madagascar,lexpress,https://www.lexpress.mg/,Multiple Sectors,no,
Malawi,maravipost,https://www.maravipost.com/,Multiple Sectors,no,
Mali,maliweb,https://www.maliweb.net/,Multiple Sectors,no,
Mali,france24,https://www.france24.com/en/tag/mali/,Multiple Sectors,no,
Mauritania,saharamedias,https://fr.saharamedias.net/,Multiple Sectors,no,
Mauritius,govmu,https://govmu.org/EN/Pages/ViewAllNews.aspx,Multiple Sectors,no,
Mauritius,lexpress mu,https://lexpress.mu/,Multiple Sectors,no,
Morocco,moroccoworldnews,https://www.moroccoworldnews.com/,Multiple Sectors,no,
Morocco,france24,https://www.france24.com/en/tag/morocco/,Multiple Sectors,no,
Mozambique,360mozambique,https://360mozambique.com/,Multiple Sectors,no,
Mozambique,aimnews,https://aimnews.org/category/english/,Multiple Sectors,no,
Mozambique,clubofmozambique,https://clubofmozambique.com/,Multiple Sectors,no,
Namibia,namibian,https://www.namibian.com.na/category/news/politics/,Multiple Sectors,no,
Niger,actuniger,https://actuniger.com/,Multiple Sectors,no,
Nigeria,dailypost,https://dailypost.ng/,Multiple Sectors,no,
Nigeria,nairametrics,https://nairametrics.com/,Multiple Sectors,no,
Rwanda,newtimes,https://www.newtimes.co.rw/,Multiple Sectors,no,
Sao Tome and Principe,telanon,https://www.telanon.info/,Multiple Sectors,no,
Senegal,seneweb,https://www.seneweb.com/fr/news/senegal,Multiple Sectors,no,
Seychelles,nation,https://www.nation.sc/,Multiple Sectors,no,
Sierra Leone,thesierraleonetelegraph,https://www.thesierraleonetelegraph.com/,Multiple Sectors,no,
Somalia,thesomalidigest,https://thesomalidigest.com/,Multiple Sectors,no,
South Africa,businesstech,https://businesstech.co.za/news/,Multiple Sectors,no,
South Africa,sabcnews,https://www.sabcnews.com/sabcnews/,Multiple Sectors,no,
South Africa,engineeringnews,https://www.engineeringnews.co.za/,Multiple Sectors,no,
South Sudan,southsudannewsagency,https://southsudannewsagency.net/south-sudan/,Multiple Sectors,no,
Sudan,sudantribune,https://sudantribune.com/,Multiple Sectors,no,
Sudan,suna-sd,https://suna-sd.net/en,Multiple Sectors,no,
Sudan,dabangasudan,https://www.dabangasudan.org/en,Multiple Sectors,no,
Tanzania,dailynews,https://dailynews.co.tz/,Multiple Sectors,no,
Togo,togofirst,https://www.togofirst.com/en,Multiple Sectors,no,
Togo,republicoftogo,https://www.republicoftogo.com/,Multiple Sectors,no,
Tunisia,news-tunisia,https://news-tunisia.tunisienumerique.com/,Multiple Sectors,no,
Tunisia,lapresse,https://lapresse.tn/,Multiple Sectors,no,
Tunisia,france24,https://www.france24.com/en/tag/tunisia/,Multiple Sectors,no,
Uganda,independent,https://www.independent.co.ug/the-news-today/,Multiple Sectors,no,
Zambia,lusakatimes,https://www.lusakatimes.com/,Multiple Sectors,no,
Zimbabwe,newzimbabwe,https://www.newzimbabwe.com/,Multiple Sectors,no,
